Dega,Viti,Paraleli,Lenda,Tipi,Pedagog,Dita,Klasa,Ora
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Grafe dhe alogoritme,seminar,N/A,E Martë,Salla I1 (200 C),17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Administrimi dhe siguria e sistemeve,leksion,N/A,E Hënë,KlasaD3,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Administrimi dhe siguria e sistemeve,leksion,N/A,E Mërkurë,KlasaD6,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Administrimi dhe siguria e sistemeve,seminar,N/A,E Enjte,Salla M1 (300 C),11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Administrimi dhe siguria e sistemeve,leksion,N/A,E Hënë,KlasaD3,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Administrimi dhe siguria e sistemeve,seminar,N/A,E Mërkurë,243A,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Administrimi dhe siguria e sistemeve,seminar,N/A,E Enjte,114A,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Administrimi dhe siguria e sistemeve,seminar,N/A,E Mërkurë,243A,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Aftesi manaxheriale,leksion,N/A,E Enjte,410A,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Aftesi manaxheriale,leksion,N/A,E Enjte,410A,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Aftesi manaxheriale,seminar,N/A,E Enjte,219A,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A1,Aftesi manaxheriale,seminar,N/A,E Enjte,219A,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Aftesi manaxheriale,seminar,N/A,E Mërkurë,Salla F (108 C),15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A2,Aftesi manaxheriale,seminar,N/A,E Mërkurë,202C,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Analizë Matematike,seminar,N/A,E Martë,Salla M2 (300 C),8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Analizë Matematike,seminar,N/A,E Martë,Salla M2 (300 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Analizë Matematike,leksion,N/A,E Mërkurë,101B,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Analizë Matematike,leksion,N/A,E Mërkurë,101B,9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Analizë Matematike,seminar,N/A,E Martë,301B,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Analizë Matematike,seminar,N/A,E Martë,301B,9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Analizë Matematike,seminar,N/A,E Martë,321A,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Analizë Matematike,seminar,N/A,E Martë,321A,9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Anglisht 1,seminar,N/A,E Martë,Salla BT (106 C),8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Anglisht 1,seminar,N/A,E Martë,Salla BT (106 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Anglisht 1,seminar,N/A,E Martë,221A,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Anglisht 1,seminar,N/A,E Martë,221A,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Anglisht 1,seminar,N/A,E Hënë,KlasaD4,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Anglisht 1,seminar,N/A,E Hënë,KlasaD6,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Anglisht 1,seminar,N/A,E Mërkurë,210C,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Anglisht 1,seminar,N/A,E Premte,202C,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A1,Anglisht 2,seminar,N/A,E Hënë,219A,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A1,Anglisht 2,seminar,N/A,E Hënë,219A,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A2,Anglisht 2,seminar,N/A,E Hënë,305C,19:00-20:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A2,Anglisht 2,seminar,N/A,E Hënë,305C,18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Anglisht 2,seminar,N/A,E Hënë,Salla BT (106 C),16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Anglisht 2,seminar,N/A,E Hënë,Salla BT (106 C),17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B2,Anglisht 2,seminar,N/A,E Hënë,201C,18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B2,Anglisht 2,seminar,N/A,E Hënë,201C,19:00-20:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A,Baza të dhënash,leksion,N/A,E Martë,KlasaD5,18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A,Baza të dhënash,leksion,N/A,E Martë,KlasaD5,19:00-20:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A1,Baza të dhënash,seminar,N/A,E Martë,221A,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A1,Baza të dhënash,seminar,N/A,E Martë,221A,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A2,Baza të dhënash,seminar,N/A,E Hënë,Salla F (108 C),16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,A2,Baza të dhënash,seminar,N/A,E Hënë,401B,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B,Baza të dhënash,leksion,N/A,E Mërkurë,410A,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B,Baza të dhënash,leksion,N/A,E Mërkurë,KlasaD2,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Baza të dhënash,seminar,N/A,E Mërkurë,401B,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Baza të dhënash,seminar,N/A,E Mërkurë,401B,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B2,Baza të dhënash,seminar,N/A,E Enjte,305C,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B2,Baza të dhënash,seminar,N/A,E Enjte,Salla BT (106 C),10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Bazat e TI,leksion,N/A,E Premte,101B,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Bazat e TI,leksion,N/A,E Mërkurë,KlasaD6,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Bazat e TI,leksion,N/A,E Mërkurë,KlasaD6,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Bazat e TI,leksion,N/A,E Premte,101B,9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Bazat e TI,seminar,N/A,E Martë,321A,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Bazat e TI,seminar,N/A,E Martë,321A,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Bazat e TI,seminar,N/A,E Hënë,Salla M2 (300 C),12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Bazat e TI,seminar,N/A,E Hënë,Salla M2 (300 C),13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Bazat e TI,leksion,N/A,E Enjte,KlasaD5,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Bazat e TI,leksion,N/A,E Enjte,KlasaD5,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Teknologji dotNet,leksion,N/A,E Enjte,301B,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Teknologji dotNet,leksion,N/A,E Enjte,301B,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Aftesi manaxheriale,seminar,N/A,E Enjte,Salla M1 (300 C),8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Aftesi manaxheriale,seminar,N/A,E Enjte,Salla M1 (300 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Administrimi dhe siguria e sistemeve,seminar,N/A,E Enjte,Salla M2 (300 C),8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Administrimi dhe siguria e sistemeve,seminar,N/A,E Enjte,Salla M2 (300 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Aftesi manaxheriale,leksion,N/A,E Hënë,243A,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Sisteme interneti,leksion,N/A,E Martë,KlasaD5,14:00-15:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Sisteme interneti,leksion,N/A,E Martë,KlasaD5,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Sisteme interneti,seminar,N/A,E Martë,Salla M2 (300 C),16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Sisteme interneti,seminar,N/A,E Martë,Salla M2 (300 C),17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Teknologji dotNet,seminar,N/A,E Martë,Salla M2 (300 C),12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Teknologji dotNet,seminar,N/A,E Martë,Salla M2 (300 C),13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Teknologji dotNet,seminar,N/A,E Martë,Salla I1 (200 C),12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Teknologji dotNet,seminar,N/A,E Martë,Salla I1 (200 C),13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Aftesi manaxheriale,leksion,N/A,E Hënë,243A,18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Aftesi manaxheriale,seminar,N/A,E Hënë,305C,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B1,Aftesi manaxheriale,seminar,N/A,E Hënë,305C,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Administrimi dhe siguria e sistemeve,seminar,N/A,E Hënë,Klasa BT,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B2,Administrimi dhe siguria e sistemeve,seminar,N/A,E Hënë,Klasa BT,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Administrimi dhe siguria e sistemeve,leksion,N/A,E Mërkurë,401B,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Administrimi dhe siguria e sistemeve,leksion,N/A,E Mërkurë,401B,9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Administrimi dhe siguria e sistemeve,leksion,N/A,E Premte,KlasaD2,17:00-18:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,B,Administrimi dhe siguria e sistemeve,leksion,N/A,E Premte,KlasaD2,18:00-19:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Programim e Struktura të dhënash,seminar,N/A,E Enjte,Salla I1 (200 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Analizë Matematike,seminar,N/A,E Premte,Salla M2 (300 C),10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Analizë Matematike,seminar,N/A,E Premte,Salla M2 (300 C),11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Programim e Struktura të dhënash,leksion,N/A,E Hënë,KlasaD6,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Programim e Struktura të dhënash,leksion,N/A,E Hënë,KlasaD6,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Analizë Matematike,leksion,N/A,E Premte,KlasaD2,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Analizë Matematike,leksion,N/A,E Premte,KlasaD2,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A2,Programim e Struktura të dhënash,seminar,N/A,E Mërkurë,Salla I1 (200 C),9:00-10:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",3,A,Administrimi dhe siguria e sistemeve,leksion,N/A,E Mërkurë,KlasaD6,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",2,B1,Grafe dhe alogoritme,seminar,N/A,E Martë,Salla I1 (200 C),16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Bazat e TI,leksion,N/A,E Enjte,KlasaD5,15:00-16:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B,Bazat e TI,leksion,N/A,E Enjte,KlasaD5,16:00-17:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Bazat e TI,seminar,N/A,E Hënë,Salla I1 (200 C),10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B1,Bazat e TI,seminar,N/A,E Hënë,Salla I1 (200 C),11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Bazat e TI,seminar,N/A,E Hënë,321A,12:00-13:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,B2,Bazat e TI,seminar,N/A,E Hënë,321A,13:00-14:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Fizikë,leksion,N/A,E Enjte,410A,10:00-11:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A,Fizikë,leksion,N/A,E Enjte,410A,11:00-12:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Fizikë,seminar,N/A,E Hënë,214A,8:00-9:00
"Bachelor në ""Teknologji Informacioni dhe komunikimi""",1,A1,Fizikë,seminar,N/A,E Hënë,214A,9:00-10:00
